NAME	GENE	CHR	ya1s4p2_106	ya1s4p2_0114FR	ya1s4p2_0108FR	ya1s4p2_0110
YLR391W			2.4	0.48	0.49	2.27
YNR052C	POP2		0.99	1.21	1.26	0.86
YBL011W	SCT1		0.74	1.19	1.27	0.87
YML077W	BET5		0.94	1.15	1.28	0.81
YNL035C			0.64	1.31	1.09	0.81
YHR200W	RPN10		1.63	0.6	0.67	1.76
YPR046W	MCM16		2.03	0.44	0.52	1.81
YPL029W	SUV3		0.99	0.92	0.75	1.14
YAR071W	PHO11		1.05	1.13	1.27	0.87
YDR291W			0.91	0.95	0.91	1.07
YCL049C			1.18	0.59	0.74	0.99
YMR095C	SNO1		0.45	1.96	1.64	0.55
YLR392C			1.13	0.57	0.55	1.52
YBL012C			0.51	1.72	1.59	0.71
YIL155C	GUT2		3.47	0.37	0.3	3.13
YGL160W			0.71	1.3	1.27	0.84
YFR018C			0.76	1.22	1.38	0.63
YKL083W			1.02	1.01	0.93	0.91
YDR023W	SES1		0.6	1.9	1.26	1.04
YLL041C	SDH2		5.75	0.21	0.19	6.68
YEL017C-A	PMP2		0.76	1.59	1.91	0.75
YGR243W			1.47	0.82	0.43	2.65
YOR344C	TYE7		1.02	1.09	0.78	1.29
YDL006W	PTC1		0.82	1	1.23	0.77
YGL226W			2.8	0.36	0.39	2.41
YHR201C	PPX1		1.43	0.68	0.59	2.06
YOR010C	TIR2		1.47	0.42	0.51	1.86
YJL112W			1.68	0.59	0.57	1.87
YDR292C	SRP101		0.67	1.35	1.02	0.84
YGL161C			1.28	0.84	0.89	1.31
YCR066W	RAD18		1.11	0.79	0.8	1.1
YGR244C	LSC2		2.66	0.41	0.33	3.31
YNR053C			0.62	1.66	1.52	0.76
YJR130C			1.57	0.49	0.39	2.22
YML078W	CPR3		1.29	0.83	0.74	1.72
YLR458W			0.92	0.84	0.89	1
YPR047W	MSF1		1.32	0.84	0.77	1.36
YLR124W			1.13	0.82	0.85	0.94
YCR067C	SED4		0.7	1.36	1.22	0.72
YAL055W			1.38	0.83	1.13	1.09
YDR358W			1.53	0.63	0.6	1.66
YKL084W			0.73	1.74	1.89	0.59
YDR024W			0.78	1.24	1.88	0.79
YLL042C	APG10		0.78	1.15	1.36	0.73
YOR345C			1.35	0.4	0.44	2.32
YGL227W	TIN1		1.11	1.03	0.97	0.95
YDL007W	RPT2		0.79	1.24	1.08	0.85
YJL113W			0.85	1.16	0.97	1.05
YNL036W	NCE103		11.57	0.11	0.08	14.34
YDR293C	SSD1		0.81	1.26	1.17	0.76
YDR359C			0.7	1.25		0.79
YIL090W			0.63	1.65		0.74
YGR245C			0.59	1.83	1.36	0.68
YBR030W			0.8	0.98	0.94	0.93
YMR096W	SNZ1		0.33	3.18	2.85	0.4
YLR393W	ATP10		1.1	0.83	0.8	1.07
YNR054C			0.86	1.11	1.12	0.94
YBL013W			0.5	1.24	1.27	0.62
YML079W			1.57	0.62	0.64	1.32
YIL156W	UBP7		0.8	1.38	1.5	0.78
YNL037C	IDH1		1.75	0.65	0.62	1.65
YLR459W	CDC91		0.92	1.09	1.12	0.92
YFR019W	FAB1		1.08	0.91	0.83	1.31
YHR202W			1.25	0.86	0.73	1.68
YPR048W	TAH18		1.12	0.82	0.78	1.34
YLR125W			0.62	1.13	1.17	0.75
YOR011W			1.18	0.92	0.75	1.15
YAR073W			0.43	3.83	3.25	0.45
YIL091C			0.63	1.62	1.31	0.75
YMR097C			1.26	0.92	0.78	1.35
YAL056W			1.51	0.61	0.52	1.76
YBL014C	RRN6		0.47	2.26	2.2	0.52
YIL157C			1.17	1.07	1.04	1.12
YOR280C			1.36	0.78	0.73	1.47
YGL162W	SUT1		0.48	1.74	1.59	0.59
YKL085W	MDH1		3.14	0.4	0.37	3.3
YDR025W	RPS11A		0.67	1.96	1.78	0.63
YPR049C			1.13	0.97	1.01	1.09
YLR126C			1.06	0.85	0.89	1.07
YGL228W	SHE10		1.31	0.86	0.67	1.54
YDL008W	APC11		1.18	0.86	0.88	1.2
YHR203C	RPS4B		0.87	1.21	1.07	0.88
YJR131W	MNS1		0.86	1.14	1.03	1.04
YJL114W			1.29			1.87
YDR294C	DPL1		1.33	0.85	0.85	1.45
YAR074C			0.38	2.74	2.79	0.36
YPL220W	RPL1A		0.51	2.63	2.55	0.53
YGR180C	RNR4		1.65	0.73	0.65	1.63
YGL163C	RAD54		1.07	1.02	1.09	0.89
YCR068W			0.75	0.96	0.85	0.86
YDR026C			1.02	0.81	0.75	1.2
YGR246C	BRF1		1.26	0.83	0.81	1.08
YBR031W	RPL4A		0.9	1.94	1.3	1.16
YGL229C	SAP4		0.44	1.97	1.95	0.47
YDL009C			2.16	0.45	0.5	1.95
YLR394W			1.08	0.84	0.92	0.9
YNR055C	HOL1		0.55	1.78	1.74	0.63
YLR060W	FRS1		0.63	1.92	1.72	0.73
YLL043W	FPS1		0.59	1.47	1.28	0.6
YOR346W	REV1		1.73	0.43	0.42	1.94
YOR012W			0.6	1.6	1.94	0.41
YMR098C			1.13	1	0.93	1.16
YLR395C	COX8		1.73	0.7	0.72	1.58
YOR281C			0.91	0.98	1	1.01
YKL086W			1.39	0.93	0.95	1.22
YOR347C	PYK2		1.5	0.88	0.71	1.23
YLR127C	APC2		0.79	1.35	1.35	0.8
YJR132W	NMD5		0.73	1.13	1.06	0.83
YJL115W	ASF1		0.74	1.08	1.23	0.69
YNL038W			0.89	1.26	1.2	0.94
YDR295C			0.72	1.18	0.96	0.9
YML001W	YPT7		1.06	1.16	1.1	1.04
YPL221W	BOP1		1.49	0.77	0.64	1.96
YGL164C			1.04	1	1.02	0.87
YKL087C	CYT2		1.22	0.88	0.91	1.24
YCR069W	SCC3		1.02	0.93	0.95	1.04
YDR027C	LUV1		0.8	1.2	1.42	0.76
YIL092W			0.64	1.43	1.39	0.7
YBR032W			0.57	1.67	1.73	0.5
YNR056C	BIO5		1.2	0.78	0.92	1.16
YBL015W	ACH1		1.37	0.77	0.92	1.16
YIL158W			1.22	0.97	1.01	1.17
YJL116C	NCA3		3.55	0.41	0.41	2.7
YLR061W	RPL22A		0.66	1.9	2.36	0.6
YLL044W			0.34	3.86	3.53	0.32
YHR204W			1.46	0.88	0.97	1.28
YOR013W			0.4	2.13	3.17	0.34
YAR075W			0.37	4.32	5.06	0.28
YIL093C			1.06	1.17	0.98	1.06
YMR099C			0.91	1.21	1.06	1.01
YAL058W	CNE1		0.57	1.78	1.87	0.54
YLR396C	VPS33		0.53	1.47	1.75	0.52
YGR181W	TIM13		0.98	1.05	1.02	0.97
YLR062C			0.66	2.01	1.81	0.67
YLL045C	RPL8B		0.39	3.81	3.57	0.35
YGR247W			0.68	1.52	1.79	0.5
YJL050W	MTR4		0.37	2.86	2.03	0.6
YOR348C	PUT4		2.64	0.24	0.29	
YJR133W	XPT1		1.31	0.99	0.93	1.23
YNL039W	TFC5		0.87	1.12	1.18	0.81
YML002W			0.72	1.22	1.27	0.72
YPL222W			1.64	0.58		1.53
YML048W-A			1.27	0.76	0.84	0.54
YGR182C			2.45	0.58	0.64	1.71
YGL165C			1.18	0.93	0.98	1.05
YDR028C	REG1		0.82	1.12	0.75	1.31
YBR033W			1.02	1.05	1.02	1.03
YBL016W				0.36	0.32	3.15
YNR057C	BIO4		2.06	0.52	0.69	1.51
YJR134C	SGM1		1	1.03	0.87	1.03
YIL159W	BNR1		0.79	1.28	1.17	0.75
YOR282W			0.86	0.86	0.65	1.18
YPL223C	GRE1		2.34	0.29	0.28	2.57
YHR205W	SCH9		1.24	0.74	0.62	1.75
YLR128W			1.43	0.63	0.62	1.37
YOR014W	RTS1		0.83	1.33	1.13	0.84
YIL094C	LYS12		0.76	1.58	1.59	0.71
YDR296W	MHR1		1.86	0.57	0.54	2.09
YLR397C	AFG2		0.51	2.05	2.13	0.41
YBR034C	HMT1		0.54	1.95	1.65	0.63
YAL059W	ECM1		0.56	1.73	1.51	0.64
YBL017C	PEP1		1.33	1.07	1.09	0.73
YDL200C				0.53	0.59	1.62
YKL088W			0.75	1.44	1.39	0.79
YLL046C	RNP1		0.84	0.82	0.89	1.11
YGR248W	SOL4		2.09	0.49	0.66	1.23
YJL051W			1.47	0.66	0.56	1.72
YJL117W	PHO86		0.68	1.38	1.25	0.9
YMR020W	FMS1		1.43	0.62	0.78	1.45
YML003W			0.82	1.23	1.15	0.91
YGR183C	QCR9		1.52	0.77	0.71	1.47
YJR135C	MCM22		1.09	0.76	0.82	1.28
YHR140W			0.5	1.92	1.67	0.69
YOR283W			1.16	0.75	0.83	1.23
YLR063W			1.13	1.15	1.06	1.01
YMR021C	MAC1		1.05	1.11	0.99	0.9
YPL224C	MMT2		0.92	1.06	1.04	1.02
YML004C	GLO1		1.08	1.02	0.98	1.26
YOR349W	CIN1		1.03	1.02	1.11	0.97
YHR206W	SKN7		2.42	0.5	0.46	2.69
YLR129W	DIP2		0.6	1.91	1.35	0.72
YOR015W			1.04	1.01	1.15	0.84
YDR297W	SUR2		0.71	1.54	1.2	0.75
YBR035C	PDX3		1.7	0.72	0.71	1.71
YLR398C	SKI2		0.45	2.23	2.98	0.5
YBL018C	POP8		1.33	0.82	0.82	1.31
YHR141C	RPL42B		1.6	0.75	0.6	1.77
YGL166W	CUP2		1.19	0.8		1.22
YKL089W	MIF2		1.37	0.63	0.66	1.4
YDR029W			0.87		0.71	1.08
YGR249W	MGA1		0.15	4.08	5.43	0.16
YJL052W	TDH1		1.57	1.34	1.48	1.28
YNL230C	ELA1		0.49	1.73	1.65	0.44
YKL010C	UFD4		1.31	0.7	0.79	1.26
YNR058W	BIO3		1.74	0.56	0.66	1.43
YOR016C	ERP4		1.2	1.08	1.09	1.01
YJL118W			1.99	0.47	0.64	1.57
YDR298C	ATP5		2.23	0.56	0.55	2.16
YGR184C	UBR1		1.05	1.04	1.19	0.64
YGL167C	PMR1		0.78	1.32	1.31	0.73
YMR290C	HAS1		0.26	3.57	2.66	0.41
YJR070C			0.37	3.17	2.6	0.43
YIL095W	PRK1		0.86	1.35		0.71
YJR136C			0.76	1.18	0.98	0.83
YOR284W			1.79	0.49	0.5	1.68
YJL119C			0.83	0.94	1.03	0.79
YLR064W			1.15	0.99	1.04	1.37
YDL201W			0.86	1.24	1.25	0.85
YLL047W			0.81	0.75	0.83	0.93
YIL096C			0.46	2.19	1.67	0.61
YBR036C	CSG2		1.65	0.67	0.52	2.08
YLR399C	BDF1		0.79	1.22	1.24	0.85
YLR065C			0.94	1.53	1.59	0.82
YLL048C	YBT1		0.37	3.42	3.03	0.35
YJL053W	PEP8		1.13	0.85	0.89	1.11
YNL231C	PDR16		1.09	1.15	0.91	1.29
YKL011C	CCE1		1.41	0.59	0.61	1.5
YNR059W	MNT4		0.52	1.81	1.73	0.62
YMR022W	QRI8		0.99	1.23	1.36	0.86
YML005W			0.76	1.33	1.33	0.87
YPL225W			1.99	0.79	0.91	1.79
YGR185C	TYS1		0.54	1.92	1.88	0.56
YER190W	YRF1-2		2.08	0.68	0.59	2.17
YBL019W	APN2		1.16	0.7	0.7	1.26
YJR137C	ECM17		1.04	1.08	1.06	0.84
YOR285W			0.88	1.6	1.47	1.06
YHR142W	CHS7		1.22	0.9	0.82	1.09
YMR023C	MSS1		1.02	1.06	1.06	0.88
YDL202W	MRPL11		1.3	0.72	0.7	1.44
YML006C	GIS4		0.88	1.31	1.28	0.81
YOR017W	PET127		0.95	1.14	1	1.08
YDR299W	BFR2		0.91	1.04	0.99	0.92
YBR037C	SCO1		1.5	0.65	0.72	1.37
YDR220C			1.07	0.6		1.53
YGL168W			0.76	1.55	1.74	0.56
YMR291W			0.42	2.15	1.89	0.48
YDL203C			0.88	1.18	1.11	0.87
YJR071W			0.42	2.42	2.13	0.46
YJL054W	TIM54		0.87	1.32	1.13	0.95
YPL160W	CDC60		0.43	2.6	2.33	0.43
YLR320W			0.98	0.96	0.9	1.03
YPL226W			0.39	2.73	2.07	0.55
YJR072C			1.29	0.81	0.73	1.37
YIL097W			1.22	0.74	0.71	1.28
YPL161C	BEM4		0.89		1.2	0.76
YOR286W			0.9	1.27	1.27	0.86
YHR143W			0.68	2.1	1.86	0.64
YLR066W	SPC3		1	1.06	1.09	1.02
YLR321C	SFH1		0.96	0.99	0.88	1.06
YLL049W			1.1	1.05	1.17	1.02
YPL227C	ALG5		1.12	0.93	1.08	1.04
YHR209W			1.19	0.94	0.86	1.21
YKL012W	PRP40		1.46	0.68	0.68	1.34
YNL232W	CSL4		0.65	1.43	1.28	0.78
YOR018W	ROD1		0.86	1.02	1.19	0.75
YIL098C	FMC1		1.59	0.64	0.65	1.47
YGR186W	TFG1		0.9	1.17	1.11	0.85
YOR287C			0.9	1.08	1.13	0.93
YHR144C	DCD1		2.47	0.75	0.72	2.31
YLR067C	PET309		1.03	1.09	1.16	0.77
YGL169W	SUA5		0.39	2.75	2.19	0.46
YMR292W	GOT1		1.04	0.94	0.95	1.16
YJL055W			1.02	0.96	1.06	1
YKL013C	ARC19		1.42	0.81	0.83	1.39
YJR138W	IML1		0.9	0.74	0.8	0.76
YMR024W	MRPL3		0.81	1.29	1.29	0.8
YML007W	YAP1		0.71	1.7	1.88	0.71
YGR187C	HGH1		0.41	2.07	1.67	0.56
YMR293C			1.02	0.93	1	1.12
YJR073C	OPI3		3.01	0.36	0.43	2.78
YBR038W	CHS2		1.26	0.73	0.6	1.39
YJL056C	ZAP1		0.97	0.94	1.12	0.83
YJR139C	HOM6		1.03	1.09	1.06	1.04
YPL162C			0.92	1.18	1.01	1.07
YDR221W			1	1.22	1.13	0.93
YDL204W			4.2	0.29	0.31	3.76
YML008C	ERG6		0.74	1.45	1.24	0.99
YKR030W			1.11	1.02	0.92	1.09
YNL233W	BNI4		0.63	1.61	1.44	0.67
YDR490C	PKH1		1.15	0.91	1.19	0.7
YOR019W			1.11	0.88	0.98	1
YOR288C	MPD1		0.74	1.31	1.21	0.82
YHR145C			0.7	1.34	1.1	0.85
YDL205C	HEM3		0.8	1.37	1.27	0.81
YKR031C	SPO14		1.13	0.76	0.95	0.72
YKL014C				0.9	0.94	0.91
YMR025W			1.34	0.83	0.9	1.12
YLR322W			1.03	0.92	0.8	1.12
YPL228W	CET1		0.77	1.09	1.08	0.94
YGR188C	BUB1		1.02	0.83	0.81	1.09
YIL099W						1.7
YJL057C	IKS1		1.41	0.81	0.81	1.08
YBR039W	ATP3		2.17	0.62	0.5	2.56
YPL163C	SVS1		0.69	1.45	1.65	0.52
YDR222W			1.01	1.13	1.3	0.96
YAR002W			0.69	1.36	1.32	0.75
YIL020C	HIS6		0.58	1.92	1.75	0.7
YLR068W			0.95	1.1	1.19	0.96
YMR026C	PEX12		0.96	1.07	1.01	1.01
YLR323C			0.97	0.92	0.85	1.04
YML009C	MRPL39		1.09	1.16	1.24	1.1
YNL234W			0.2	3.23	2.49	0.3
YDR491C			0.9	1.01	0.73	1.18
YER044C-A	MEI4		0.93	1.08	1.16	0.76
YHR080C			1.06	1.6	1.34	1.23
YDL140C	RPO21		0.84	1.4	1.22	0.79
YLR069C	MEF1		1.17	0.91	0.84	1.38
YMR294W	JNM1		1.18	0.9	0.88	1.18
YJR074W	MOG1		1.21	0.86	0.86	1.06
YPR180W	AOS1		1.36	0.68	0.72	1.43
YNL235C			0.84	1.17	1.31	0.86
YMR244C-A			1.82	0.5	0.5	1.84
YPL229W			0.87	1.34	1.21	0.82
YGR189C	CRH1		1.07	1.04	0.82	1.2
YMR295C			2.08	0.57	0.56	1.91
YJL058C			0.96	1	0.99	0.92
YPR181C	SEC23		1	1.14	1.06	1.13
YPL164C			1.36	0.78	0.81	1.25
YDR223W			1.05	0.81	1.03	0.99
YAR003W			0.68	1.45	1.68	0.64
YOR289W			2.03	0.45		
YHR146W			2.17	0.61	0.57	2.64
YDL206W			0.89	1.05	1.02	0.88
YKR032W			1.07		1.03	
YKL015W	PUT3		0.86	0.8	0.63	1.17
YDR224C	HTB1		0.97	1.85	1.8	0.89
YHR147C	MRPL6		1.95	0.53	0.4	2.52
YJR075W	HOC1		0.95	1.26	1.35	0.92
YKR033C			1.65	0.42	0.5	1.82
YKL016C	ATP7		4.41	0.41	0.4	3.76
YIL021W	RPB3		0.84	1.08	1.04	1.02
YMR027W	HRT2		0.95	0.98	0.94	1.12
YLR324W			0.51	1.79	1.79	0.55
YOR210W	RPB10		0.85	1.26	1.5	0.91
YDR492W			0.96	1.13	0.83	1.3
YMR296C	LCB1		0.45	2.52	2.89	0.36
YBR230C			2.55	0.43	0.39	2.59
YJR076C	CDC11		1.23	0.74	0.63	1.66
YHR081W			0.91	1.13	1.05	0.88
YDL141W	BPL1		0.43	2.15	2.37	0.48
YPL165C			1.14	0.91	0.89	1.1
YNL170W			1.2	0.75	0.86	1.12
YLR325C	RPL38		0.51	2.64	2.45	0.51
YDL207W	GLE1		0.99	1	0.91	1.21
YGR110W			1.67	0.58	0.54	1.74
YOR211C	MGM1		1.05	0.85	0.78	1.36
YNL236W	SIN4		0.57	1.68	1.59	0.73
YHR082C	KSP1		1.45	0.69	0.83	1.11
YDL142C	CRD1		1.07	1.01	0.98	1.11
YNL171C			1.58	0.71	0.81	1.5
YJL059W	YHC3		1.38	0.77	0.75	1.23
YPR182W	SMX3		1.12	1.15	1.23	0.97
YKL017C	HCS1		1.02	0.93	0.81	1.11
YIL022W	TIM44		0.79	1.06	1.1	0.88
YMR028W	TAP42		1.46	0.66	0.6	1.77
YDR493W			1.11	0.94	1.02	0.98
YBR231C			1.11	0.79	0.91	0.99
YJR077C	MIR1		2.51	0.53	0.49	2.69
YIR040C			0.88	0.77	0.81	0.83
YDR225W	HTA1		1.09	1.36	1.46	0.95
YIL023C			1.78	0.57	0.67	1.56
YHR148W	IMP3		2.21	0.65	0.55	3.04
YMR029C			1.23	0.83	0.68	1.43
YDL208W	NHP2		0.69	1.89	1.96	0.71
YGR111W			1.07	0.89	0.83	1.11
YKR034W	DAL80		1.66	0.55	0.59	1.68
YNL237W	YTP1		1.49	0.7	0.75	1.58
YHR149C			1.39	0.77	0.66	1.6
YMR297W	PRC1		1.81	0.79	0.74	1.65
YDL209C			1.2	0.69	0.91	1.17
YKR035C			1.65	0.56	0.54	1.86
YPR183W	DPM1		1.36	0.89	0.97	1.29
YLR260W	LCB5		1.17	0.76	0.73	
YPL166W			1.01	0.88	0.82	1.05
YLR326W			2.12	0.45	0.46	2.01
YOR212W	STE4		6.17	0.21	0.23	6.63
YDR494W			1.12	0.94	0.87	1.13
YBR232C			1.07	0.89	0.85	0.91
YDR160W	SSY1		1.07	0.95	1.02	0.85
YHR083W			0.67	1.15	1.12	0.77
YDL143W	CCT4		0.68	1.76	1.56	0.84
YLR261C			1.27	0.9	0.96	1.08
YPL167C	REV3		1.15	0.64	1.01	1
YIL024C			3.3	0.27	0.31	2.87
YDR226W	ADK1		0.71	1.99	1.81	0.79
YNL172W	APC1		0.89	1	0.96	1.06
YLR327C			3.21	0.37	0.3	3.73
YGR112W	SHY1		1.8	0.65	0.57	1.75
YOR213C	SAS5		1.04	1.03	0.9	1.08
YNL238W	KEX2		0.82	1.26	1.17	0.78
YKL018W			0.77	1.49	1.45	0.79
YDR495C	VPS3		0.97	0.86	0.8	1.03
YDL144C			2.25	0.43	0.45	2.38
YAR007C	RFA1		0.82	1.31	1.21	0.83
YNL173C	MDG1		0.95	1.03	1.15	1.02
YMR298W			1.07	1.26	1.23	0.89
YJR078W			1.12	0.77	1.24	0.65
YKR036C	CAF4		1.04	0.73	0.73	1.31
YPR184W			1.38	0.49	0.56	1.69
YIR041W			1.25		1.01	0.81
YOL130W	ALR1		0.57	1.77	1.66	0.6
YMR299C			1.32	0.79	0.84	1.22
YDR161W	TCI1		0.62	1.66	1.49	0.73
YHR084W	STE12		0.79	1.31	1.3	0.77
YLR262C	YPT6		1.22	0.81	0.77	1.37
YIR042C			0.1	13.26	9.58	0.08
YIL025C			0.87			1.16
YGL030W	RPL30		0.52	2.48	2.48	0.5
YDR227W	SIR4		1.19	0.91	1.24	1.18
YGR113W	DAM1		1.3	0.76	0.74	1.15
YOR214C			0.76	1.13	1.12	0.88
YNL239W	LAP3		0.87	1.4	1.23	0.85
YKL019W	RAM2		0.95	1.16	0.98	0.99
YDR496C			0.48	2.04	1.41	0.67
YDR162C	NBP2		1.18	0.59	0.77	1.36
YDL145C	COP1		0.6	1.84	1.63	0.67
YDR228C	PCF11		1.05	1.41	1.44	0.61
YBR090C-A			0.82	1.76	1.74	1.05
YBR233W	PBP2		1.24	0.75	0.88	1.21
YGL031C	RPL24A		0.67	2.66	2.65	0.7
YJR079W			1.59	0.82	0.91	1.31
YGR114C			0.76	1.2	1.06	0.87
YKR037C	SPC34		1.06	0.94	1.08	0.9
YPR185W	APG13		0.69	1.78	1.99	0.5
YPL168W			1.7	0.59	0.76	1.38
YLR328W			0.86	1.03	1.18	0.96
YOL131W			0.93			
YBR234C	ARC40		0.95	1.05	1.01	1.01
YHR085W			0.77	1.43	1.49	0.81
YPR186C	PZF1		0.79	1.17	1.35	0.7
YIR043C			3.65	0.24	0.3	3.57
YPL169C	MEX67		0.74	1.62	1.58	0.82
YAR008W	SEN34		0.77	1.23	1.1	0.85
YIL026C	IRR1		0.71	1.55	1.46	0.67
YNL174W			0.57	1.79	1.47	0.76
YOR215C			5.46	0.27	0.28	5.05
YMR220W	ERG8		0.88	1.15	1.12	0.98
YDR497C	ITR1		0.8	1.34	1.27	0.89
YDL080C	THI3		0.84	1.51	1.41	0.63
YAR009C			16.52	0.17	0.16	13.21
YNL175C			0.52	1.9	1.65	0.62
YGL032C	AGA2		17.33	0.04	0.06	10.92
YGR115C			0.65	1.28	1.23	0.65
YKR038C			0.94	1.13	1.16	0.92
YER120W	SCS2		0.89	1.48	1.51	0.91
YLR263W	RED1		0.82	0.9	1.01	1
YMR221C			1.04	1.1	0.94	1.26
YLR329W	REC102		0.87		0.79	0.93
YOL132W			1.05	0.69	0.77	0.93
YDR163W			1.7	0.66	0.71	1.6
YHR086W	NAM8		0.65	1.48	1.66	0.51
YDL146W			0.59	1.38	1.29	0.63
YIR044C			2.88	0.36	0.28	3.28
YIL027C			1.44	0.81	0.78	1.41
YDR229W			1.27	0.81	0.75	1.26
YOR216C	RUD3		0.94	1.04	0.91	1.17
YBL005W-A			21.03	0.08	0.12	14.98
YBL005W-B			4.25		0.26	
YJR001W			0.76	1.48	1.38	0.77
YDR498C	SEC20		1.35	0.79	0.78	1.27
YDL081C	RPP1A		1.13	1.61	1.75	0.9
YDR164C	SEC1		0.9	1.21	0.87	1.08
YGR050C			0.73	1.31	1.67	0.64
YNL176C			1.84	0.69	0.65	1.38
YBR235W			0.81	1.31	1.39	0.81
YER121W			1.89	0.57	0.69	1.8
YPR187W	RPO26		0.64	2.44	2.1	0.61
YLR264W	RPS28B		0.6	2.8	2.95	0.58
YMR222C			1.25	0.81	1.05	1.05
YOR150W	MRPL23		1.2	0.95	0.9	1.5
YKL210W	UBA1		0.71	1.26	0.94	1.13
YOL133W	HRT1		0.67	1.42	1.7	0.58
YBR170C	NPL4		1.04	0.99	0.97	0.94
YBR236C	ABD1		0.99	1.02	0.94	1.17
YHR087W			0.76	1.41	1.2	0.83
YPR188C			1.38	0.84	0.86	1.39
YER122C	GLO3		1.02	1.08	0.92	1.05
YDL147W	RPN5		1.08	1.01	0.93	1.18
YLR265C			4.69	0.2	0.24	5.34
YOR151C	RPB2		0.52	2.14	1.43	0.68
YGL033W	HOP2		1.12	0.8	0.91	1.08
YOL134C			0.72	1.2	1.3	0.66
YKL211C	TRP3		0.73	1.45	1.45	0.77
YGR116W	SPT6		0.92	1.19	1.15	0.89
YKR039W	GAP1		1.67	0.6	0.73	1.38
YJR002W	MPP10		0.66	1.25	1.04	0.78
YDL148C			0.44	2.34	1.78	0.51
YGR051C			0.72	0.81	0.69	0.8
YNL177C			1.32	0.82	0.71	1.48
YGL034C			1.24	0.8	0.99	1.02
YGR117C			1.11	0.87	0.91	1.14
YIL028W			0.57	1.55	1.41	0.57
YJR003C			1.15	0.9	0.93	1.23
YOR217W	RFC1		0.63	1.6	1.46	0.65
YDR499W			0.97	1	0.89	0.9
YDL082W	RPL13A		0.45	2.8	2.76	0.41
YDR165W			0.62	2.11	3.5	0.37
YHR088W			0.95	0.97	0.93	0.95
YLR266C			1.44	0.72	0.71	1.39
YIL029C			0.59	1.03	0.99	0.61
YOR152C			1.33	0.66	0.77	1.52
YOL135C	MED7		1.19	0.8	0.89	1.35
YOR218C			0.67	1.61	1.76	0.53
YMR223W	UBP8		0.71	1.37	1.45	0.71
YDL083C	RPS16B		0.51	2.41	2.23	0.58
YDR166C	SEC5		1.09	1.17	0.9	1.04
YHR089C	GAR1		0.87	1.45	1.63	0.82
YBR171W	SEC66		0.93	1.38	1.3	0.94
YGL035C	MIG1		0.51	2.41	2.07	0.51
YEL040W	UTR2		0.17	6.25	5.69	0.29
YBR237W	PRP5		1.11	0.86	0.82	1.25
YER123W	YCK3		0.52	1.7	1.53	0.59
YDR420W	HKR1		0.84	1.24	1.12	0.83
YPR189W	SKI3		1.48	0.82	1.13	0.66
YMR224C	MRE11		1.13	0.87	1.03	0.91
YJR004C	SAG1		1.11	0.91	1	1.01
YPR110C	RPC40		0.47	2.08	1.85	0.65
YKL212W	SAC1		0.92	1.27	1.08	1.18
YBR172C	SMY2		0.77	1.36	1.11	0.92
YBR238C			0.24	5.24	4.91	0.19
YER124C			0.13	7.32	6.09	0.14
YDL149W	AUT9		1.12	0.68	0.85	0.56
YOL070C			1.78	0.57	0.53	2.03
YGR052W			1.07	0.67	0.73	1.01
YNL178W	RPS3		0.54	2.45	2.36	0.48
YOL136C	PFK27		0.29	3.75	2.39	0.43
YKL213C	DOA1		0.92	1.16	1.06	0.87
YGR118W	RPS23A		0.62	2.56	2.56	0.65
YOR219C	STE13		0.99	1.11	1.01	0.94
YJL190C	RPS22A		0.46	3.82	3.7	0.38
YGR053C			1.01	0.69	0.76	1.11
YNL179C			1.34	0.6	0.57	1.54
YEL041W			1.84	0.47	0.57	1.71
YGR119C	NUP57		0.87	1.33	1.24	0.81
YDR421W			1.4	0.8	0.74	1.23
YLR267W				2.1	3.01	0.33
YMR225C	MRPL44		1.38	0.81	0.9	1.24
YHR010W	RPL27A		0.63	2.68	2.51	0.63
YOR153W	PDR5		1.89	0.69	0.59	2.02
YBR173C	UMP1		0.94	1.27	1.35	0.82
YDL084W	SUB2		0.56	2.2	1.78	0.7
YBR239C			0.75	1.24	1.53	0.65
YDR167W	TAF25		1.41	0.83	0.82	1.37
YGL036W	MTC2		0.7	1.65	1.65	0.66
YKL214C			0.96	1.02	0.89	1.1
YAL035C-A			0.6	1.57	1.73	0.49
YJR005W	APL1		0.94	1.04	0.82	1.29
YBL090W	MRP21		1.37	0.8	0.75	1.43
YPR111W	DBF20		1.08	0.79	0.72	1.24
YGL037C			3.26	0.48	0.55	2.16
YEL042W	GDA1		0.76	1.58	1.24	0.99
YER125W	RSP5		0.37	3.08	3.14	0.32
YLR268W	SEC22		1.21	0.88	0.88	1.3
YOL071W			1.76	0.58	0.58	
YMR226C			2.06	0.63	0.55	2.24
YHR011W			1.39	0.68	0.88	1.18
YOR154W			0.74	1.27	1.02	0.83
YPR112C	MRD1		0.59	1.56	1.34	0.83
YBL091C	MAP2		0.73	1.45	1.36	0.87
YOL137W			1.22	0.84	0.85	1.41
YBR174C			0.63	1.44	1.37	0.58
YNL100W			2.94	0.44	0.46	2.89
YDL085W			1.23	0.89	0.87	1.02
YDR168W	CDC37		0.3	3.32	3.97	0.38
YER126C			0.68	1.43	1.1	0.94
YDR423C	CAD1		0.69	1.34	1.16	0.72
YJL191W	RPS14B		0.37	3.05	3.15	0.38
YLR269C			1.41	0.77	0.79	1.35
